instance,number,sup,cpm,mis,misr,dir,omega,class,comb. class,other class,cluster,lof_outliers
2,6,3,0,12.0,0.0,vo,3000.0,1,7.0,,0,1
2,7,3,0,3.5,0.0,vv,3000.0,1,7.0,,0,1
2,8,4,0,27.5,0.0,ao,3000.0,1,7.0,,0,1
2,9,4,0,9.0,0.0,aa,3000.0,1,7.0,,0,1
2,10,4,0,5.5,0.0,vo,3000.0,1,7.0,,0,1
2,11,4,0,2.3,0.0,va,3000.0,1,7.0,,0,1
2,12,2,0,10.0,0.0,ao,3000.0,1,7.0,,0,1
2,13,2,0,7.5,0.0,aa,3000.0,1,7.0,,0,1
2,14,2,0,2.85,0.0,vo,3000.0,1,7.0,,0,-1
2,15,2,0,1.4,0.0,va,3000.0,1,7.0,,0,1
2,16,3,18000,0.9,0.0,io,3000.0,1,7.0,,0,1
2,17,3,18000,0.75,0.0,iv,3000.0,1,7.0,,0,1
2,18,4,3000,3.3,0.0,io,3000.0,1,7.0,,0,-1
2,19,4,3000,1.3,0.0,ia,3000.0,1,7.0,,0,1
2,20,4,6000,0.65,0.0,io,3000.0,1,7.0,,0,1
2,21,4,6000,0.5,0.0,ia,3000.0,1,7.0,,0,1
2,22,4,9000,2.75,0.0,io,3000.0,1,7.0,,0,1
2,23,4,9000,0.7,0.0,ia,3000.0,1,7.0,,0,1
2,24,4,18000,0.7,0.0,io,3000.0,1,7.0,,0,1
2,25,3,9000,6.0,0.0,io,3000.0,1,7.0,,0,1
2,26,3,9000,1.0,0.0,iv,3000.0,1,7.0,,0,1
2,27,2,18000,0.6,0.0,ia,3000.0,1,7.0,,0,1
2,28,2,6000,2.5,0.0,io,3000.0,1,7.0,,0,1
2,29,2,6000,0.75,0.0,ia,3000.0,1,7.0,,0,1
2,30,3,3000,9.0,0.0,io,3000.0,1,7.0,,0,1
2,31,3,3000,3.1,0.0,iv,3000.0,1,7.0,,0,1
2,32,3,6000,0.9,0.0,io,3000.0,1,7.0,,0,1
2,33,1,3000,0.8,0.0,io,3000.0,1,7.0,,0,1
2,34,1,3000,0.45,0.0,iv,3000.0,1,7.0,,0,1
2,35,1,6000,2.3,0.0,io,3000.0,1,7.0,,0,1
2,36,1,6000,0.85,0.0,iv,3000.0,1,7.0,,0,1
2,37,1,18000,0.7,0.0,iv,3000.0,1,7.0,,0,1
2,38,2,3000,1.05,0.0,io,3000.0,1,7.0,,0,1
2,39,2,3000,0.7,0.0,ia,3000.0,1,7.0,,0,1
2,40,3,3000,9.0,0.0,ma,3000.0,1,7.0,,0,1
3,0,3,0,47.5,7.0,ao,1500.0,1,7.0,,2,-1
3,1,3,0,20.0,5.5,aa,1500.0,1,7.0,,0,1
3,2,3,0,3.85,0.9,vo,1500.0,1,7.0,,0,-1
3,3,3,0,1.6,0.7,va,1500.0,1,7.0,,0,1
3,4,4,0,27.5,6.0,ao,1500.0,1,7.0,,0,1
3,5,4,0,25.0,5.0,aa,1500.0,1,7.0,,0,-1
3,6,4,0,2.1,0.7,vo,1500.0,1,7.0,,0,1
3,7,4,0,2.0,0.6,va,1500.0,1,7.0,,0,1
3,8,2,0,7.0,5.0,ao,1500.0,1,7.0,,0,1
3,10,2,0,0.9,0.7,vo,1500.0,1,7.0,,0,1
3,11,2,0,5.0,2.7,va,1500.0,1,7.0,,0,1
3,12,1,0,5.0,4.0,ao,1500.0,1,7.0,,0,1
3,14,1,0,0.6,0.6,vo,1500.0,1,7.0,,0,1
3,15,1,0,5.4,2.7,vv,1500.0,1,7.0,,0,-1
3,16,4,22000,0.3,0.0,io,1500.0,1,7.0,,0,1
3,17,2,1500,4.8,2.4,ia,1500.0,1,7.0,,0,1
3,18,2,3000,1.2,0.0,ia,1500.0,1,7.0,,0,1
3,19,3,1500,3.0,0.0,io,1500.0,1,7.0,,0,1
3,20,3,1500,1.5,0.0,ia,1500.0,1,7.0,,0,1
3,21,1,1500,5.0,2.7,iv,1500.0,1,7.0,,0,1
3,22,3,31000,0.95,0.0,io,1500.0,1,7.0,,0,1
3,23,3,31000,0.35,0.0,ia,1500.0,1,7.0,,0,1
3,24,1,3000,1.0,0.0,iv,1500.0,1,7.0,,0,1
3,25,4,1500,1.9,0.0,io,1500.0,1,7.0,,0,1
3,26,4,1500,1.7,0.0,ia,1500.0,1,7.0,,0,1
3,27,1,1500,5.0,0.0,ma,1500.0,1,7.0,,0,1
4,0,3,0,38.0,0.0,ao,1500.0,1,7.0,,0,1
4,1,3,0,20.0,0.0,av,1500.0,1,7.0,,0,1
4,2,3,0,3.4,0.0,vo,1500.0,1,7.0,,0,1
4,3,3,0,2.0,0.0,vv,1500.0,1,7.0,,0,1
4,4,4,0,24.0,0.0,ao,1500.0,1,7.0,,0,1
4,5,4,0,14.0,0.0,aa,1500.0,1,7.0,,0,1
4,6,4,0,2.2,0.0,vo,1500.0,1,7.0,,0,1
4,7,4,0,1.7,0.0,va,1500.0,1,7.0,,0,1
4,8,1,0,34.0,0.0,ao,1500.0,1,7.0,,0,-1
4,9,1,0,55.0,0.0,av,1500.0,1,7.0,,2,1
4,10,1,0,6.7,0.0,vo,1500.0,1,7.0,,0,-1
4,11,1,0,5.7,0.0,vv,1500.0,1,7.0,,0,-1
4,12,2,0,57.5,0.0,ao,1500.0,1,7.0,,2,-1
4,13,2,0,65.0,0.0,aa,1500.0,1,7.0,,2,1
4,14,2,0,8.2,0.0,vo,1500.0,1,7.0,,0,-1
4,15,2,0,6.3,0.0,va,1500.0,1,7.0,,0,-1
4,16,3,1500,2.5,0.0,io,1500.0,1,7.0,,0,1
4,17,3,1500,1.5,0.0,iv,1500.0,1,7.0,,0,1
4,18,1,3000,1.0,0.0,io,1500.0,1,7.0,,0,1
4,19,1,3000,2.75,0.0,iv,1500.0,1,7.0,,0,1
4,20,3,3000,1.0,0.0,io,1500.0,1,7.0,,0,1
4,21,3,3000,0.4,0.0,iv,1500.0,1,7.0,,0,1
4,22,3,4500,1.6,0.0,io,1500.0,1,7.0,,0,1
4,23,3,4500,0.4,0.0,iv,1500.0,1,7.0,,0,1
4,24,3,7500,0.45,0.0,io,1500.0,1,7.0,,0,1
4,25,3,33000,0.5,0.0,io,1500.0,1,7.0,,0,1
4,26,3,29000,0.45,0.0,iv,1500.0,1,7.0,,0,1
4,27,4,1500,1.5,0.0,io,1500.0,1,7.0,,0,1
4,28,4,1500,0.9,0.0,ia,1500.0,1,7.0,,0,1
4,29,4,3000,0.9,0.0,io,1500.0,1,7.0,,0,1
4,30,4,3000,1.0,0.0,ia,1500.0,1,7.0,,0,1
4,31,4,4500,0.9,0.0,io,1500.0,1,7.0,,0,1
4,32,4,23000,0.55,0.0,ia,1500.0,1,7.0,,0,1
4,33,1,4500,5.2,0.0,io,1500.0,1,7.0,,0,-1
4,34,1,4500,0.9,0.0,iv,1500.0,1,7.0,,0,1
4,35,2,1500,3.4,0.0,io,1500.0,1,7.0,,0,1
4,36,2,1500,4.4,0.0,ia,1500.0,1,7.0,,0,-1
4,37,2,3000,2.1,0.0,io,1500.0,1,7.0,,0,1
4,38,2,3000,2.65,0.0,ia,1500.0,1,7.0,,0,1
4,39,2,4500,6.75,0.0,io,1500.0,1,7.0,,0,-1
4,40,1,1500,1.5,0.0,io,1500.0,1,7.0,,0,1
4,41,1,1500,3.5,0.0,iv,1500.0,1,7.0,,0,1
4,42,2,10500,0.45,0.0,io,1500.0,1,7.0,,0,1
4,43,2,4500,6.75,0.0,ma,1500.0,1,7.0,,0,-1
5,2,2,0,42.0,5.5,aa,1000.0,1,7.0,,0,1
5,3,2,0,7.5,1.0,vo,1000.0,1,7.0,,0,1
5,4,2,0,5.8,0.65,vv,1000.0,1,7.0,,0,1
5,5,2,0,2.5,0.55,va,1000.0,1,7.0,,0,1
5,6,1,0,17.5,3.0,ao,1000.0,1,7.0,,0,1
5,7,1,0,28.0,4.5,av,1000.0,1,7.0,,0,1
5,8,1,0,4.6,0.7,vo,1000.0,1,7.0,,0,-1
5,9,1,0,3.4,0.75,vv,1000.0,1,7.0,,0,1
5,10,3,0,50.0,0.0,ao,1000.0,1,7.0,,2,1
5,11,3,0,60.0,0.0,av,1000.0,1,7.0,,2,-1
5,12,3,0,3.0,0.0,vo,1000.0,1,7.0,,0,1
5,13,3,0,3.0,0.0,vv,1000.0,1,7.0,,0,1
5,14,1,4800,3.6,0.0,io,1000.0,1,7.0,,0,1
5,15,1,4800,1.2,0.0,iv,1000.0,1,7.0,,0,1
5,16,2,13000,0.45,0.0,iv,1000.0,1,7.0,,0,1
5,17,2,30000,0.55,0.0,iv,1000.0,1,7.0,,0,1
5,18,3,1000,2.4,0.0,io,1000.0,1,7.0,,0,1
5,19,3,1000,2.7,0.0,iv,1000.0,1,7.0,,0,1
5,20,3,2000,0.5,0.0,iv,1000.0,1,7.0,,0,1
5,21,1,6000,1.1,0.0,io,1000.0,1,7.0,,0,1
5,22,1,7000,1.2,0.0,iv,1000.0,1,7.0,,0,1
5,23,1,1000,1.2,0.0,iv,1000.0,1,7.0,,0,1
5,24,1,8000,0.9,0.0,io,1000.0,1,7.0,,0,1
5,25,3,12000,0.4,0.0,io,1000.0,1,7.0,,0,1
5,26,1,11000,0.5,0.0,io,1000.0,1,7.0,,0,1
5,27,1,12500,0.65,0.0,iv,1000.0,1,7.0,,0,1
5,28,1,24000,0.35,0.0,io,1000.0,1,7.0,,0,1
5,29,1,24000,0.35,0.0,iv,1000.0,1,7.0,,0,1
5,30,2,1000,4.8,0.5,io,1000.0,1,7.0,,0,1
5,31,2,1000,4.0,0.5,iv,1000.0,1,7.0,,0,1
5,32,2,1000,2.0,0.0,ia,1000.0,1,7.0,,0,1
5,33,2,2000,1.3,0.0,io,1000.0,1,7.0,,0,1
5,34,2,2000,1.0,0.0,iv,1000.0,1,7.0,,0,1
5,35,2,4800,3.6,0.0,io,1000.0,1,7.0,,0,1
5,36,2,6000,1.55,0.0,io,1000.0,1,7.0,,0,1
5,37,2,6000,1.05,0.3,iv,1000.0,1,7.0,,0,1
5,38,2,7000,1.35,0.0,iv,1000.0,1,7.0,,0,1
5,39,2,8000,0.5,0.0,ia,1000.0,1,7.0,,0,1
5,40,2,9000,1.25,0.0,io,1000.0,1,7.0,,0,1
5,41,2,1000,4.8,0.0,ma,1000.0,1,7.0,,0,1
6,0,1,0,10.0,0.0,ao,1500.0,1,7.0,,0,1
6,1,1,0,14.5,0.0,av,1500.0,1,7.0,,0,-1
6,2,1,0,0.9,0.0,vo,1500.0,1,7.0,,0,1
6,3,1,0,1.2,0.0,vv,1500.0,1,7.0,,0,1
6,4,2,0,14.5,0.0,ao,1500.0,1,7.0,,0,-1
6,5,2,0,54.0,0.0,av,1500.0,1,7.0,,2,-1
6,6,2,0,38.0,0.0,aa,1500.0,1,7.0,,0,1
6,7,2,0,1.3,0.0,vo,1500.0,1,7.0,,0,1
6,8,2,0,4.2,0.0,vv,1500.0,1,7.0,,0,1
6,9,2,0,3.4,0.0,va,1500.0,1,7.0,,0,1
6,10,3,0,15.0,0.0,ao,1500.0,1,7.0,,0,1
6,11,3,0,45.0,0.0,av,1500.0,1,7.0,,0,-1
6,12,3,0,3.3,0.0,vo,1500.0,1,7.0,,0,-1
6,13,4,0,10.0,0.0,ao,1500.0,1,7.0,,0,1
6,14,4,0,15.5,0.0,aa,1500.0,1,7.0,,0,-1
6,15,4,0,3.1,0.0,vo,1500.0,1,7.0,,0,1
6,16,4,0,1.9,0.0,va,1500.0,1,7.0,,0,1
6,17,2,1500,1.1,0.0,io,1500.0,1,7.0,,0,1
6,18,2,1500,4.0,0.0,iv,1500.0,1,7.0,,0,1
6,19,2,1500,2.5,0.0,ia,1500.0,1,7.0,,0,1
6,20,2,3000,1.0,0.0,iv,1500.0,1,7.0,,0,1
6,21,2,3000,0.6,0.0,ia,1500.0,1,7.0,,0,1
6,22,1,1500,0.8,0.0,iv,1500.0,1,7.0,,0,1
6,23,2,24000,0.4,0.0,io,1500.0,1,7.0,,0,1
6,24,4,31000,1.15,0.0,io,1500.0,1,7.0,,0,1
6,25,2,30000,0.45,0.0,iv,1500.0,1,7.0,,0,1
6,26,2,30000,1.15,0.0,ia,1500.0,1,7.0,,0,1
6,27,3,1500,1.1,0.0,io,1500.0,1,7.0,,0,1
6,28,3,1500,2.8,0.0,iv,1500.0,1,7.0,,0,1
6,29,3,7500,1.65,0.0,iv,1500.0,1,7.0,,0,1
6,30,3,15000,1.25,0.0,io,1500.0,1,7.0,,0,1
6,31,3,15000,0.5,0.0,iv,1500.0,1,7.0,,0,1
6,32,3,30000,1.6,0.0,io,1500.0,1,7.0,,0,1
6,33,3,32000,0.95,0.0,iv,1500.0,1,7.0,,0,1
6,34,4,1500,0.5,0.0,io,1500.0,1,7.0,,0,1
6,35,4,1500,1.2,0.0,ia,1500.0,1,7.0,,0,1
6,36,4,7500,1.35,0.0,ia,1500.0,1,7.0,,0,1
6,37,4,15000,1.05,0.0,io,1500.0,1,7.0,,0,1
6,38,4,15000,0.6,0.0,ia,1500.0,1,7.0,,0,1
6,39,2,1500,4.0,0.0,ma,1500.0,1,7.0,,0,1
7,0,3,0,38.0,0.0,ao,3000.0,1,7.0,,0,1
7,1,3,0,42.0,0.0,av,3000.0,1,7.0,,0,1
7,2,3,0,7.6,0.0,vo,3000.0,1,7.0,,0,-1
7,3,3,0,7.4,0.0,vv,3000.0,1,7.0,,0,-1
7,4,4,0,20.0,0.0,ao,3000.0,1,7.0,,0,1
7,5,4,0,7.0,0.0,aa,3000.0,1,7.0,,0,1
7,6,4,0,4.0,0.0,vo,3000.0,1,7.0,,0,1
7,7,4,0,2.7,0.0,va,3000.0,1,7.0,,0,1
7,8,2,0,11.0,0.0,ao,3000.0,1,7.0,,0,1
7,9,2,0,6.5,0.0,av,3000.0,1,7.0,,0,1
7,10,2,0,2.7,0.0,vo,3000.0,1,7.0,,0,1
7,11,2,0,1.4,0.0,vv,3000.0,1,7.0,,0,1
7,12,1,0,10.0,0.0,ao,3000.0,1,7.0,,0,1
7,13,1,0,9.5,0.0,aa,3000.0,1,7.0,,0,1
7,14,1,0,2.75,0.0,vo,3000.0,1,7.0,,0,1
7,15,1,0,2.8,0.0,va,3000.0,1,7.0,,0,1
7,16,1,6000,2.05,0.0,io,3000.0,1,7.0,,0,-1
7,17,1,6000,0.4,0.0,ia,3000.0,1,7.0,,0,1
7,18,3,21000,1.0,0.0,io,3000.0,1,7.0,,0,1
7,19,3,30000,0.9,0.0,iv,3000.0,1,7.0,,0,1
7,20,3,41000,0.65,0.0,iv,3000.0,1,7.0,,0,1
7,21,4,3000,3.0,0.0,io,3000.0,1,7.0,,0,1
7,22,4,3000,0.8,0.0,ia,3000.0,1,7.0,,0,1
7,23,4,6000,0.65,0.0,io,3000.0,1,7.0,,0,1
7,24,4,6000,0.6,0.0,ia,3000.0,1,7.0,,0,1
7,25,4,9000,0.6,0.0,io,3000.0,1,7.0,,0,1
7,26,4,9000,1.3,0.0,ia,3000.0,1,7.0,,0,1
7,27,4,12000,0.8,0.0,io,3000.0,1,7.0,,0,1
7,28,4,15000,0.9,0.0,io,3000.0,1,7.0,,0,1
7,29,4,15000,0.5,0.0,ia,3000.0,1,7.0,,0,1
7,30,1,9000,0.5,0.0,io,3000.0,1,7.0,,0,1
7,31,1,9000,0.35,0.0,ia,3000.0,1,7.0,,0,1
7,32,1,12000,0.65,0.0,io,3000.0,1,7.0,,0,1
7,33,1,15000,1.0,0.0,io,3000.0,1,7.0,,0,1
7,34,1,15000,1.8,0.0,ia,3000.0,1,7.0,,0,1
7,35,1,38000,0.55,0.0,ia,3000.0,1,7.0,,0,1
7,36,2,3000,0.4,0.0,io,3000.0,1,7.0,,0,1
7,37,2,6000,2.25,0.0,io,3000.0,1,7.0,,0,1
7,38,2,15000,0.6,0.0,io,3000.0,1,7.0,,0,1
7,39,2,21000,0.45,0.0,io,3000.0,1,7.0,,0,1
7,40,1,3000,1.4,0.0,ia,3000.0,1,7.0,,0,1
7,41,3,3000,5.4,0.0,io,3000.0,1,7.0,,0,-1
7,42,3,3000,5.8,0.0,iv,3000.0,1,7.0,,0,1
7,43,4,48000,0.8,0.0,ia,3000.0,1,7.0,,0,1
7,44,3,6000,2.8,0.0,io,3000.0,1,7.0,,0,1
7,45,3,6000,0.6,0.0,iv,3000.0,1,7.0,,0,1
7,46,3,9000,0.85,0.0,io,3000.0,1,7.0,,0,1
7,47,3,9000,2.1,0.0,iv,3000.0,1,7.0,,0,1
7,48,3,12000,1.1,0.0,io,3000.0,1,7.0,,0,1
7,49,3,12000,0.9,0.0,iv,3000.0,1,7.0,,0,1
7,50,3,15000,1.7,0.0,io,3000.0,1,7.0,,0,1
7,51,3,15000,1.2,0.0,iv,3000.0,1,7.0,,0,1
7,52,3,3000,5.8,0.0,ma,3000.0,1,7.0,,0,1
9,0,1,0,9.0,0.0,ao,1500.0,1,7.0,,0,1
9,1,1,0,17.0,0.0,av,1500.0,1,7.0,,0,1
9,2,1,0,1.5,0.0,vo,1500.0,1,7.0,,0,1
9,3,1,0,1.4,0.0,vv,1500.0,1,7.0,,0,1
9,5,3,0,42.0,0.0,av,1500.0,1,7.0,,0,1
9,6,3,0,12.0,0.0,aa,1500.0,1,7.0,,0,1
9,7,3,0,7.2,0.0,vo,1500.0,1,7.0,,0,-1
9,8,3,0,3.8,0.0,vv,1500.0,1,7.0,,0,1
9,9,3,0,2.8,0.0,va,1500.0,1,7.0,,0,1
9,10,2,0,32.0,0.0,ao,1500.0,1,7.0,,0,1
9,11,2,0,36.0,0.0,av,1500.0,1,7.0,,0,1
9,12,2,0,22.0,0.0,aa,1500.0,1,7.0,,0,-1
9,13,2,0,3.4,0.0,vo,1500.0,1,7.0,,0,1
9,14,2,0,3.4,0.0,vv,1500.0,1,7.0,,0,1
9,15,2,0,1.9,0.0,va,1500.0,1,7.0,,0,1
9,16,4,0,40.0,0.0,ao,1500.0,1,7.0,,0,-1
9,17,4,0,20.0,0.0,av,1500.0,1,7.0,,0,1
9,18,4,0,21.0,0.0,aa,1500.0,1,7.0,,0,1
9,19,4,0,4.2,0.0,vo,1500.0,1,7.0,,0,1
9,20,4,0,2.35,0.0,vv,1500.0,1,7.0,,0,-1
9,21,4,0,4.8,0.0,va,1500.0,1,7.0,,0,1
9,22,3,30000,1.0,0.0,iv,1500.0,1,7.0,,0,1
9,23,3,30000,1.15,0.0,ia,1500.0,1,7.0,,0,1
9,24,4,3000,0.8,0.0,io,1500.0,1,7.0,,0,1
9,25,4,1500,2.8,0.0,io,1500.0,1,7.0,,0,1
9,26,4,1500,1.0,0.0,iv,1500.0,1,7.0,,0,1
9,27,4,1500,1.5,0.0,ia,1500.0,1,7.0,,0,1
9,28,3,4500,2.25,0.0,io,1500.0,1,7.0,,0,1
9,29,3,4500,0.65,0.0,iv,1500.0,1,7.0,,0,1
9,30,3,7500,1.0,0.0,ia,1500.0,1,7.0,,0,1
9,31,3,9000,1.95,0.0,io,1500.0,1,7.0,,0,1
9,32,3,9000,0.7,0.0,iv,1500.0,1,7.0,,0,1
9,33,3,10500,1.1,0.0,io,1500.0,1,7.0,,0,1
9,34,3,32000,1.35,0.0,io,1500.0,1,7.0,,0,1
9,35,2,4500,0.65,0.0,io,1500.0,1,7.0,,0,1
9,36,2,4500,0.3,0.0,iv,1500.0,1,7.0,,0,1
9,37,2,4500,0.3,0.0,ia,1500.0,1,7.0,,0,1
9,38,2,6000,0.5,0.0,io,1500.0,1,7.0,,0,1
9,39,2,6000,0.85,0.0,iv,1500.0,1,7.0,,0,1
9,40,2,6000,0.7,0.0,ia,1500.0,1,7.0,,0,1
9,41,2,9000,0.75,0.0,io,1500.0,1,7.0,,0,1
9,42,2,9000,0.45,0.0,iv,1500.0,1,7.0,,0,1
9,43,2,9000,0.4,0.0,ia,1500.0,1,7.0,,0,1
9,44,2,12000,0.85,0.0,io,1500.0,1,7.0,,0,1
9,45,3,1500,6.0,0.0,io,1500.0,1,7.0,,0,1
9,46,3,1500,2.9,0.0,iv,1500.0,1,7.0,,0,1
9,47,3,1500,0.6,0.0,ia,1500.0,1,7.0,,0,1
9,48,2,1500,2.4,0.0,io,1500.0,1,7.0,,0,1
9,49,2,1500,2.6,0.0,iv,1500.0,1,7.0,,0,1
9,50,2,1500,1.5,0.0,ia,1500.0,1,7.0,,0,1
9,51,3,3000,1.9,0.0,io,1500.0,1,7.0,,0,1
9,52,3,3000,0.7,0.0,iv,1500.0,1,7.0,,0,1
9,53,2,3000,0.9,0.0,io,1500.0,1,7.0,,0,1
9,54,2,3000,0.7,0.0,iv,1500.0,1,7.0,,0,1
9,55,2,3000,0.4,0.0,ia,1500.0,1,7.0,,0,1
9,56,4,33000,1.5,0.0,ia,1500.0,1,7.0,,0,1
9,57,4,32000,0.4,0.0,io,1500.0,1,7.0,,0,1
9,58,4,32000,1.1,0.0,iv,1500.0,1,7.0,,0,1
9,59,4,10500,0.9,0.0,io,1500.0,1,7.0,,0,1
9,60,4,9000,0.9,0.0,io,1500.0,1,7.0,,0,1
9,61,4,9000,0.55,0.0,ia,1500.0,1,7.0,,0,1
9,62,4,7500,1.1,0.0,ia,1500.0,1,7.0,,0,1
9,63,4,4500,1.5,0.0,io,1500.0,1,7.0,,0,1
9,64,4,4500,0.9,0.0,iv,1500.0,1,7.0,,0,1
9,65,4,4500,1.1,0.0,ia,1500.0,1,7.0,,0,1
9,66,3,1500,6.0,0.0,ma,1500.0,1,7.0,,0,1
10,0,1,0,15.0,0.0,ao,3000.0,4,7.0,,0,1
10,2,1,0,3.0,0.0,vo,3000.0,4,7.0,,0,1
10,3,1,0,13.0,0.0,vv,3000.0,4,7.0,,0,1
10,4,3,0,28.5,0.0,ao,3000.0,4,7.0,,0,-1
10,5,3,0,32.0,0.0,av,3000.0,4,7.0,,0,1
10,6,3,0,13.5,0.0,aa,3000.0,4,7.0,,0,1
10,7,3,0,6.8,0.0,vo,3000.0,4,7.0,,0,-1
10,8,3,0,6.5,0.0,vv,3000.0,4,7.0,,0,1
10,9,3,0,2.8,0.0,va,3000.0,4,7.0,,0,1
10,10,4,0,11.5,0.0,ao,3000.0,4,7.0,,0,-1
10,11,4,0,5.0,0.0,aa,3000.0,4,7.0,,0,1
10,12,4,0,2.6,0.0,vo,3000.0,4,7.0,,0,1
10,13,4,0,1.9,0.0,va,3000.0,4,7.0,,0,1
10,14,2,0,15.0,0.0,ao,3000.0,4,7.0,,0,1
10,15,2,0,22.5,0.0,av,3000.0,4,7.0,,0,1
10,17,2,0,4.8,0.0,vo,3000.0,4,7.0,,0,1
10,18,2,0,7.5,0.0,vv,3000.0,4,7.0,,0,1
10,19,2,0,16.0,0.0,va,3000.0,4,7.0,,0,1
10,20,3,28000,0.75,0.0,iv,3000.0,4,7.0,,0,1
10,21,2,28000,2.9,0.0,io,3000.0,4,7.0,,0,1
10,22,2,28000,1.5,0.0,iv,3000.0,4,7.0,,0,1
10,23,2,28000,1.4,0.0,ia,3000.0,4,7.0,,0,1
10,24,2,37000,5.5,0.0,iv,3000.0,4,7.0,,0,1
10,25,3,3000,4.2,0.0,io,3000.0,4,7.0,,0,1
10,26,3,3000,4.4,0.0,iv,3000.0,4,7.0,,0,-1
10,27,3,3000,2.15,0.0,ia,3000.0,4,7.0,,0,1
10,28,3,6000,1.1,0.0,io,3000.0,4,7.0,,0,1
10,29,3,9000,1.1,0.0,io,3000.0,4,7.0,,0,1
10,30,3,9000,1.35,0.0,iv,3000.0,4,7.0,,0,1
10,31,3,9000,0.65,0.0,ia,3000.0,4,7.0,,0,1
10,32,1,3000,0.55,0.0,io,3000.0,4,7.0,,0,1
10,33,1,3000,11.0,0.0,iv,3000.0,4,7.0,,0,1
10,34,3,18000,0.65,0.0,io,3000.0,4,7.0,,0,1
10,35,4,37000,1.15,0.0,io,3000.0,4,7.0,,0,1
10,36,4,37000,0.35,0.0,ia,3000.0,4,7.0,,0,1
10,37,3,37000,4.5,0.0,io,3000.0,4,7.0,,0,1
10,38,3,37000,1.45,0.0,iv,3000.0,4,7.0,,0,1
10,39,3,38000,2.4,0.0,ia,3000.0,4,7.0,,0,1
10,40,4,9000,0.55,0.0,io,3000.0,4,7.0,,0,1
10,41,4,9000,1.1,0.0,ia,3000.0,4,7.0,,0,1
10,42,4,6000,0.5,0.0,io,3000.0,4,7.0,,0,1
10,43,4,3000,1.9,0.0,io,3000.0,4,7.0,,0,1
10,44,4,3000,0.35,0.0,ia,3000.0,4,7.0,,0,1
10,45,1,6000,0.9,0.0,io,3000.0,4,7.0,,0,1
10,46,1,9000,1.1,0.0,io,3000.0,4,7.0,,0,1
10,47,1,9000,2.5,0.0,iv,3000.0,4,7.0,,0,1
10,48,1,18000,1.15,0.0,iv,3000.0,4,7.0,,0,1
10,49,1,28000,2.0,0.0,iv,3000.0,4,7.0,,0,1
10,50,1,33000,2.15,0.0,io,3000.0,4,7.0,,0,1
10,51,1,36000,1.5,0.0,iv,3000.0,4,7.0,,0,1
10,52,2,3000,1.4,0.0,io,3000.0,4,7.0,,0,1
10,53,2,3000,3.3,0.0,iv,3000.0,4,7.0,,0,-1
10,54,2,3000,14.0,0.0,ia,3000.0,4,7.0,,0,1
10,55,2,6000,1.1,0.0,io,3000.0,4,7.0,,0,1
10,56,2,9000,0.6,0.0,io,3000.0,4,7.0,,0,1
10,57,2,9000,2.3,0.0,ia,3000.0,4,7.0,,0,1
10,58,2,18000,2.0,0.0,io,3000.0,4,7.0,,0,1
10,59,2,18000,1.1,0.0,iv,3000.0,4,7.0,,0,1
